NUM_MPM;COD_PAY_ENTR;COD_STE_ENTR;COD_GARE_ENTR;LIB_GARE_ENT;COD_PAY_SOR;COD_STE_SOR;COD_GARE_SOR;LIB_GAR_SOR;HRD_SOR;DATE_SOR
25004902265700003;250;06;007;LE MUY;250;06;002;LA BARQUE;05/10/2014 21:37:00;201410052137
25004902265700003;000;00;000;;250;06;010;FREJUS;07/10/2014 10:34:00;201410071034
25004902265700003;000;00;000;;250;06;010;FREJUS;29/10/2014 08:07:00;201410290807
25004902265700003;000;00;000;;250;06;010;FREJUS;08/10/2014 08:10:00;201410080810
25004902265700003;000;00;000;;250;06;010;FREJUS;20/10/2014 19:54:00;201410201954
25004902265700003;250;06;002;LA BARQUE;250;06;007;LE MUY;28/10/2014 21:34:00;201410282134
25004902265700003;000;00;000;;250;06;010;FREJUS;03/10/2014 12:22:00;201410031222
25004902265700003;250;06;004;ST.MAXIMIN;250;06;007;LE MUY;13/11/2014 17:47:00;201411131747
25004902265700003;250;06;009;CAPITOU;250;06;008;PUGET ECHANGEUR;22/11/2014 17:34:00;201411221734
25004902265700003;000;00;000;;250;06;013;ANTIBES EST;09/11/2014 07:48:00;201411090748
25004902265700003;000;00;000;;250;06;010;FREJUS;20/11/2014 23:54:00;201411202354
25004902265700003;000;00;000;;250;06;012;ANTIBES P/V;07/11/2014 10:13:00;201411071013
25004902265700003;000;00;000;;250;06;010;FREJUS;07/11/2014 19:54:00;201411071954
25004902265700003;000;00;000;;250;06;012;ANTIBES P/V;25/11/2014 18:33:00;201411251833
25004902265700003;000;00;000;;250;06;012;ANTIBES P/V;25/11/2014 23:44:00;201411252344
25004902265700003;250;06;007;LE MUY;250;06;002;LA BARQUE;28/11/2014 11:30:00;201411281130
25004902265700003;250;06;002;LA BARQUE;250;06;009;CAPITOU;17/11/2014 14:44:00;201411171444
25004902265700003;000;00;000;;250;06;012;ANTIBES P/V;18/11/2014 11:08:00;201411181108
25004902265700003;000;00;000;;250;06;012;ANTIBES P/V;19/11/2014 18:06:00;201411191806
25004902265700003;000;00;000;;250;06;010;FREJUS;19/11/2014 20:08:00;201411192008
25004902265700003;000;00;000;;250;06;012;ANTIBES P/V;04/11/2014 15:19:00;201411041519
25004902265700003;000;00;000;;250;06;012;ANTIBES P/V;07/11/2014 19:27:00;201411071927
25004902265700003;000;00;000;;250;06;010;FREJUS;09/11/2014 06:24:00;201411090624
25004902265700003;000;00;000;;250;06;010;FREJUS;24/11/2014 20:04:00;201411242004
25004902265700003;000;00;000;;250;06;010;FREJUS;26/11/2014 08:37:00;201411260837
25004902265700003;000;00;000;;250;06;010;FREJUS;13/11/2014 08:07:00;201411130807
25004902265700003;250;06;002;LA BARQUE;250;06;007;LE MUY;14/11/2014 22:33:00;201411142233
25004902265700003;000;00;000;;250;06;010;FREJUS;26/11/2014 00:07:00;201411260007
25004902265700003;000;00;000;;250;06;054;PERTUIS SUD;03/11/2014 18:13:00;201411031813
25004902265700003;250;06;002;LA BARQUE;250;06;007;LE MUY;03/11/2014 19:21:00;201411031921
25004902265700003;000;00;000;;250;06;010;FREJUS;21/11/2014 08:14:00;201411210814
25004902265700003;000;00;000;;250;06;010;FREJUS;01/11/2014 12:53:00;201411011253
25004902265700003;250;06;007;LE MUY;250;06;002;LA BARQUE;02/11/2014 21:00:00;201411022100
25004902265700003;000;00;000;;250;06;010;FREJUS;17/11/2014 19:59:00;201411171959
25004902265700003;000;00;000;;250;06;010;FREJUS;18/11/2014 08:14:00;201411180814
25004902265700003;000;00;000;;250;06;010;FREJUS;25/11/2014 08:13:00;201411250813
25004902265700003;000;00;000;;250;06;012;ANTIBES P/V;20/11/2014 23:37:00;201411202337
25004902265700003;000;00;000;;250;06;010;FREJUS;26/11/2014 19:37:00;201411261937
25004902265700003;250;06;008;PUGET ECHANGEUR;250;06;009;CAPITOU;12/11/2014 08:18:00;201411120818
25004902265700003;000;00;000;;250;06;012;ANTIBES P/V;09/11/2014 06:43:00;201411090643
25004902265700003;000;00;000;;250;06;010;FREJUS;14/11/2014 08:01:00;201411140801
25004902265700003;000;00;000;;250;06;012;ANTIBES P/V;20/11/2014 18:49:00;201411201849
25004902265700003;000;00;000;;250;06;010;FREJUS;22/11/2014 13:21:00;201411221321
25004902265700003;250;06;002;LA BARQUE;250;06;007;LE MUY;28/11/2014 22:40:00;201411282240
25004902265700003;000;00;000;;250;06;010;FREJUS;12/11/2014 20:17:00;201411122017
25004902265700003;000;00;000;;250;06;010;FREJUS;20/11/2014 08:12:00;201411200812
25004902265700003;000;00;000;;250;06;010;FREJUS;24/11/2014 08:09:00;201411240809
25004902265700003;250;06;008;PUGET ECHANGEUR;250;06;009;CAPITOU;04/11/2014 08:09:00;201411040809
25004902265700003;000;00;000;;250;06;013;ANTIBES EST;09/11/2014 07:45:00;201411090745
25004902265700003;000;00;000;;250;06;010;FREJUS;09/11/2014 13:44:00;201411091344
25004902265700003;000;00;000;;250;06;010;FREJUS;10/11/2014 15:57:00;201411101557
25004902265700003;250;06;009;CAPITOU;250;06;004;ST.MAXIMIN;13/11/2014 13:45:00;201411131345
25004902265700003;250;06;009;CAPITOU;250;06;002;LA BARQUE;14/11/2014 13:38:00;201411141338
25004902265700003;000;00;000;;250;06;010;FREJUS;21/11/2014 19:42:00;201411211942
25004902265700003;000;00;000;;250;06;012;ANTIBES P/V;07/11/2014 17:43:00;201411071743
25004902265700003;250;06;007;LE MUY;250;06;002;LA BARQUE;30/11/2014 20:24:00;201411302024
25004902265700003;250;06;009;CAPITOU;250;06;008;PUGET ECHANGEUR;01/11/2014 18:14:00;201411011814
25004902265700003;000;00;000;;250;06;014;ANTIBES OUEST;10/11/2014 17:20:00;201411101720
25004902265700003;000;00;000;;250;06;010;FREJUS;10/11/2014 19:27:00;201411101927
25004902265700003;250;06;007;LE MUY;250;06;002;LA BARQUE;16/11/2014 21:16:00;201411162116
25004902265700003;000;00;000;;250;06;010;FREJUS;09/12/2014 22:58:00;201412092258
25004902265700003;250;06;002;LA BARQUE;250;06;038;PAS DE TRETS;12/12/2014 10:11:00;201412121011
25004902265700003;000;00;000;;250;06;010;FREJUS;23/12/2014 19:06:00;201412231906
25004902265700003;000;00;000;;250;06;010;FREJUS;27/12/2014 17:32:00;201412271732
25004902265700003;000;00;000;;250;06;010;FREJUS;09/12/2014 08:12:00;201412090812
25004902265700003;250;06;036;PONT DE L ETOILE;250;06;007;LE MUY;19/12/2014 18:17:00;201412191817
25004902265700003;250;06;002;LA BARQUE;250;06;007;LE MUY;21/12/2014 15:14:00;201412211514
25004902265700003;000;00;000;;250;06;010;FREJUS;13/12/2014 20:03:00;201412132003
25004902265700003;000;00;000;;250;06;010;FREJUS;22/12/2014 19:26:00;201412221926
25004902265700003;250;06;036;PONT DE L ETOILE;250;06;002;LA BARQUE;10/12/2014 17:54:00;201412101754
25004902265700003;000;00;000;;250;06;010;FREJUS;29/12/2014 12:51:00;201412291251
25004902265700003;000;00;000;;250;06;010;FREJUS;02/12/2014 07:47:00;201412020747
25004902265700003;250;06;002;LA BARQUE;250;06;007;LE MUY;12/12/2014 22:31:00;201412122231
25004902265700003;000;00;000;;250;06;010;FREJUS;18/12/2014 19:04:00;201412181904
25004902265700003;000;00;000;;250;06;012;ANTIBES P/V;13/12/2014 16:57:00;201412131657
25004902265700003;250;06;007;LE MUY;250;06;002;LA BARQUE;14/12/2014 21:09:00;201412142109
25004902265700003;250;06;002;LA BARQUE;250;06;007;LE MUY;26/12/2014 23:09:00;201412262309
25004902265700003;000;00;000;;250;06;010;FREJUS;08/12/2014 19:57:00;201412081957
25004902265700003;250;06;055;MEYRARGUES;250;06;060;MANOSQUE;26/12/2014 21:47:00;201412262147
25004902265700003;250;06;002;LA BARQUE;250;06;007;LE MUY;05/12/2014 17:45:00;201412051745
25004902265700003;000;00;000;;250;06;012;ANTIBES P/V;18/12/2014 10:47:00;201412181047
25004902265700003;250;06;007;LE MUY;250;06;036;PONT DE L ETOILE;19/12/2014 08:54:00;201412190854
25004902265700003;000;00;000;;250;06;010;FREJUS;18/12/2014 07:25:00;201412180725
25004902265700003;000;00;000;;250;06;010;FREJUS;23/12/2014 08:09:00;201412230809
25004902265700003;250;06;007;LE MUY;250;06;002;LA BARQUE;30/12/2014 12:29:00;201412301229
25004902265700003;250;06;002;LA BARQUE;250;06;009;CAPITOU;01/12/2014 09:54:00;201412010954
25004902265700003;000;00;000;;250;06;012;ANTIBES P/V;17/12/2014 14:26:00;201412171426
25004902265700003;000;00;000;;250;06;012;ANTIBES P/V;16/12/2014 17:31:00;201412161731
25004902265700003;000;00;000;;250;06;010;FREJUS;24/12/2014 08:15:00;201412240815
25004902265700003;000;00;000;;250;06;010;FREJUS;22/12/2014 08:25:00;201412220825
25004902265700003;000;00;000;;250;06;010;FREJUS;01/12/2014 19:49:00;201412011949
25004902265700003;000;00;000;;250;06;010;FREJUS;13/12/2014 16:38:00;201412131638
25004902265700003;250;06;009;CAPITOU;250;06;002;LA BARQUE;17/12/2014 17:40:00;201412171740
25004902265700003;250;06;002;LA BARQUE;250;06;007;LE MUY;17/12/2014 22:46:00;201412172246
25004902265700003;000;00;000;;250;06;014;ANTIBES OUEST;22/12/2014 19:07:00;201412221907
25004902265700003;000;00;000;;250;06;010;FREJUS;15/12/2014 21:49:00;201412152149
25004902265700003;250;06;009;CAPITOU;250;06;002;LA BARQUE;10/12/2014 12:46:00;201412101246
25004902265700003;000;00;000;;250;06;010;FREJUS;04/12/2014 07:48:00;201412040748
25004902265700003;250;06;038;PAS DE TRETS;250;06;002;LA BARQUE;12/12/2014 10:19:00;201412121019
25004902265700003;250;06;002;LA BARQUE;250;06;009;CAPITOU;15/12/2014 13:08:00;201412151308
