ID;Entr;Sor;DOW;Tmin;Tmax
PM;0;25006010;0;0;0
PM;0;25006012;0;0;0
PM;0;25006019;0;0;0
PM;0;25006054;0;0;0
PM;25004210;25004211;0;8.25077592915522;9.90848333010404
PM;25004211;25004210;0;3.0425990761483;11.9199009238517
PM;25004211;25004220;0;6.89782092195922;10.1761790780408
PM;25004213;25004220;0;7.27793143320207;8.24111618584555
PM;25004220;25004211;0;-0.0422573445870063;8.84528764761731
PM;25004903;25004983;0;8.31807236215071;11.1874831934048
PM;25006002;25006009;0;7.77821096082665;9.62903541598495
PM;25006007;25006002;0;6.19209095742589;9.46790904257411
PM;25004201;25004211;0;17.2361554745259;19.4971778588074
PM;25004210;25004211;0;13.9733775411922;19.1792540377551
PM;25004210;25004218;0;18.6678410432647;21.2966034011798
PM;25004210;25004226;0;15.6316227949867;21.4392105383467
PM;25004211;25004210;0;15.1035915624635;20.5941095869618
PM;25004211;25004218;0;12.6009294643759;21.5657372022908
PM;25004211;25004220;0;14.7724182035544;20.3471896395829
PM;25004213;25004220;0;16.0937301067963;22.3812698932037
PM;25004218;25004210;0;17.2011848234134;22.2154818432532
PM;25004220;25004211;0;17.0790847315366;21.7367047421477
PM;25004220;25004212;0;17.90958050777;20.16541949223
PM;25004220;25004213;0;18.8244280996562;21.9271848035696
PM;25004222;25004226;0;13.6212863612282;20.319189829248
PM;25004226;25004222;0;15.8086137715709;20.3339788210217
PM;25004541;25004535;0;16.7194781616508;23.5614742193016
PM;25004903;25004983;0;12.2308548564383;16.4570239314405
PM;25004983;25004903;0;14.2216281681793;20.3742051651541
PM;25004985;25004905;0;16.7038851486633;22.5627815180034
PM;25004987;25004907;0;17.2979700207662;22.1329823601862
PM;25006002;25006007;0;16.5820851844519;22.0316403057442
PM;25006002;25006009;0;11.3825139277328;16.7508194056005
PM;25006007;25006002;0;16.5010610873441;21.3306055793226
PM;25006009;25006002;0;15.3610044362848;19.2741807489004
PM;25006009;25006008;0;16.4624197850876;21.7981862755184
PM;0;25006010;1;0;0
PM;0;25006012;1;0;0
PM;0;25006019;1;0;0
PM;0;25006054;1;0;0
PM;25004210;25004211;1;8.25077592915522;9.90848333010404
PM;25004211;25004210;1;3.0425990761483;11.9199009238517
PM;25004211;25004220;1;6.89782092195922;10.1761790780408
PM;25004213;25004220;1;7.27793143320207;8.24111618584555
PM;25004220;25004211;1;-0.0422573445870063;8.84528764761731
PM;25004903;25004983;1;8.31807236215071;11.1874831934048
PM;25006002;25006009;1;7.77821096082665;9.62903541598495
PM;25006007;25006002;1;6.19209095742589;9.46790904257411
PM;25004201;25004211;1;17.2361554745259;19.4971778588074
PM;25004210;25004211;1;13.9733775411922;19.1792540377551
PM;25004210;25004218;1;18.6678410432647;21.2966034011798
PM;25004210;25004226;1;15.6316227949867;21.4392105383467
PM;25004211;25004210;1;15.1035915624635;20.5941095869618
PM;25004211;25004218;1;12.6009294643759;21.5657372022908
PM;25004211;25004220;1;14.7724182035544;20.3471896395829
PM;25004213;25004220;1;16.0937301067963;22.3812698932037
PM;25004218;25004210;1;17.2011848234134;22.2154818432532
PM;25004220;25004211;1;17.0790847315366;21.7367047421477
PM;25004220;25004212;1;17.90958050777;20.16541949223
PM;25004220;25004213;1;18.8244280996562;21.9271848035696
PM;25004222;25004226;1;13.6212863612282;20.319189829248
PM;25004226;25004222;1;15.8086137715709;20.3339788210217
PM;25004541;25004535;1;16.7194781616508;23.5614742193016
PM;25004903;25004983;1;12.2308548564383;16.4570239314405
PM;25004983;25004903;1;14.2216281681793;20.3742051651541
PM;25004985;25004905;1;16.7038851486633;22.5627815180034
