NUM_MPM;COD_PAY_ENTR;COD_STE_ENTR;COD_GARE_ENTR;LIB_GARE_ENT;COD_PAY_SOR;COD_STE_SOR;COD_GARE_SOR;LIB_GAR_SOR;HRD_SOR;DATE_SOR;HRD_ENTR;DATE_ENTR
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;24/06/2014 07:39:00;201406240739;24/06/2014 06:42:00;201406240642
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;30/06/2014 08:26:00;201406300826;30/06/2014 07:25:00;201406300725
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;02/06/2014 08:46:00;201406020846;02/06/2014 07:47:00;201406020747
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;13/06/2014 07:48:00;201406130748;13/06/2014 06:52:00;201406130652
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;06/06/2014 08:13:00;201406060813;06/06/2014 07:08:00;201406060708
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;16/06/2014 08:12:00;201406160812;16/06/2014 07:19:00;201406160719
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;10/06/2014 08:38:00;201406100838;10/06/2014 07:38:00;201406100738
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;11/07/2014 08:11:00;201407110811;11/07/2014 07:14:00;201407110714
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;13/07/2014 08:47:00;201407130847;13/07/2014 07:45:00;201407130745
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;27/07/2014 12:03:00;201407271203;27/07/2014 11:15:00;201407271115
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;21/07/2014 08:40:00;201407210840;21/07/2014 07:37:00;201407210737
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;25/07/2014 08:13:00;201407250813;25/07/2014 07:14:00;201407250714
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;04/07/2014 08:30:00;201407040830;04/07/2014 07:24:00;201407040724
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;07/07/2014 08:17:00;201407070817;07/07/2014 07:10:00;201407070710
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;15/07/2014 07:26:00;201407150726;15/07/2014 06:29:00;201407150629
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;25/08/2014 08:10:00;201408250810;25/08/2014 07:11:00;201408250711
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;18/08/2014 08:16:00;201408180816;18/08/2014 07:11:00;201408180711
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;29/09/2014 08:56:00;201409290856;29/09/2014 08:07:00;201409290807
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;22/09/2014 08:38:00;201409220838;22/09/2014 07:41:00;201409220741
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;01/09/2014 08:53:00;201409010853;01/09/2014 07:55:00;201409010755
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;05/09/2014 08:12:00;201409050812;05/09/2014 07:17:00;201409050717
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;08/09/2014 08:05:00;201409080805;08/09/2014 07:11:00;201409080711
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;26/09/2014 08:33:00;201409260833;26/09/2014 07:34:00;201409260734
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;15/09/2014 08:37:00;201409150837;15/09/2014 07:31:00;201409150731
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;27/10/2014 08:36:00;201410270836;27/10/2014 07:40:00;201410270740
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;24/10/2014 08:30:00;201410240830;24/10/2014 07:33:00;201410240733
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;13/10/2014 07:17:00;201410130717;13/10/2014 06:20:00;201410130620
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;20/10/2014 07:42:00;201410200742;20/10/2014 06:44:00;201410200644
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;31/10/2014 08:42:00;201410310842;31/10/2014 07:43:00;201410310743
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;06/10/2014 08:44:00;201410060844;06/10/2014 07:45:00;201410060745
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;10/10/2014 07:18:00;201410100718;10/10/2014 06:27:00;201410100627
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;03/10/2014 07:32:00;201410030732;03/10/2014 06:28:00;201410030628
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;17/10/2014 08:31:00;201410170831;17/10/2014 07:33:00;201410170733
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;03/11/2014 08:18:00;201411030818;03/11/2014 07:19:00;201411030719
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;17/11/2014 08:25:00;201411170825;17/11/2014 07:27:00;201411170727
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;28/11/2014 08:04:00;201411280804;28/11/2014 07:10:00;201411280710
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;24/11/2014 08:22:00;201411240822;24/11/2014 07:24:00;201411240724
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;14/11/2014 08:36:00;201411140836;14/11/2014 07:41:00;201411140741
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;07/11/2014 08:22:00;201411070822;07/11/2014 07:27:00;201411070727
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;18/12/2014 08:49:00;201412180849;18/12/2014 07:54:00;201412180754
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;12/12/2014 08:43:00;201412120843;12/12/2014 07:48:00;201412120748
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;01/12/2014 08:59:00;201412010859;01/12/2014 07:59:00;201412010759
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;15/12/2014 09:40:00;201412150940;15/12/2014 08:47:00;201412150847
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;08/12/2014 08:43:00;201412080843;08/12/2014 07:45:00;201412080745
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;30/12/2014 08:57:00;201412300857;30/12/2014 07:59:00;201412300759
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;05/01/2015 07:59:00;201501050759;05/01/2015 06:54:00;201501050654
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;21/01/2015 07:47:00;201501210747;21/01/2015 06:48:00;201501210648
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;26/01/2015 08:48:00;201501260848;26/01/2015 07:48:00;201501260748
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;09/01/2015 08:36:00;201501090836;09/01/2015 07:47:00;201501090747
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;30/01/2015 08:03:00;201501300803;30/01/2015 07:15:00;201501300715
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;25/01/2015 14:34:00;201501251434;25/01/2015 13:52:00;201501251352
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;12/01/2015 08:47:00;201501120847;12/01/2015 07:45:00;201501120745
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;28/01/2015 07:56:00;201501280756;28/01/2015 07:01:00;201501280701
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;09/02/2015 08:26:00;201502090826;09/02/2015 07:23:00;201502090723
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;02/02/2015 08:28:00;201502020828;02/02/2015 07:41:00;201502020741
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;05/02/2015 07:48:00;201502050748;05/02/2015 06:59:00;201502050659
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;16/02/2015 08:41:00;201502160841;16/02/2015 07:53:00;201502160753
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;23/02/2015 08:06:00;201502230806;23/02/2015 07:14:00;201502230714
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;28/02/2015 10:21:00;201502281021;28/02/2015 09:33:00;201502280933
25004903965600001;250;06;049;FREJUS OUEST;250;06;002;LA BARQUE;01/02/2015 11:42:00;201502011142;01/02/2015 10:55:00;201502011055
25004903965600001;250;06;009;CAPITOU;250;06;002;LA BARQUE;06/02/2015 15:09:00;201502061509;06/02/2015 14:21:00;201502061421
25004903965600001;250;06;002;LA BARQUE;250;06;004;ST.MAXIMIN;25/01/2015 15:51:00;201501251551;25/01/2015 15:38:00;201501251538
25004903965600001;250;06;049;FREJUS OUEST;250;06;005;BRIGNOLES;09/02/2014 09:16:00;201402090916;09/02/2014 08:41:00;201402090841
25004903965600001;250;06;002;LA BARQUE;250;06;005;BRIGNOLES;26/09/2014 19:44:00;201409261944;26/09/2014 19:21:00;201409261921
25004903965600001;250;06;049;FREJUS OUEST;250;06;007;LE MUY;08/03/2014 19:40:00;201403081940;08/03/2014 19:31:00;201403081931
25004903965600001;250;06;049;FREJUS OUEST;250;06;007;LE MUY;10/01/2015 16:57:00;201501101657;10/01/2015 16:50:00;201501101650
25004903965600001;250;06;008;PUGET ECHANGEUR;250;06;007;LE MUY;16/05/2014 19:54:00;201405161954;16/05/2014 19:47:00;201405161947
25004903965600001;250;06;002;LA BARQUE;250;06;007;LE MUY;24/10/2014 19:49:00;201410241949;24/10/2014 18:58:00;201410241858
25004903965600001;250;06;002;LA BARQUE;250;06;007;LE MUY;03/10/2014 20:03:00;201410032003;03/10/2014 19:15:00;201410031915
25004903965600001;250;06;002;LA BARQUE;250;06;007;LE MUY;12/12/2014 20:01:00;201412122001;12/12/2014 19:07:00;201412121907
25004903965600001;250;06;042;PUGET VILLE;250;06;008;PUGET ECHANGEUR;18/05/2014 15:20:00;201405181520;18/05/2014 14:54:00;201405181454
25004903965600001;250;06;042;PUGET VILLE;250;06;008;PUGET ECHANGEUR;31/05/2014 18:54:00;201405311854;31/05/2014 18:29:00;201405311829
25004903965600001;250;06;049;FREJUS OUEST;250;06;008;PUGET ECHANGEUR;22/03/2014 09:53:00;201403220953;22/03/2014 09:50:00;201403220950
25004903965600001;250;06;049;FREJUS OUEST;250;06;008;PUGET ECHANGEUR;09/05/2014 20:15:00;201405092015;09/05/2014 20:12:00;201405092012
25004903965600001;250;06;049;FREJUS OUEST;250;06;008;PUGET ECHANGEUR;19/06/2014 08:49:00;201406190849;19/06/2014 08:46:00;201406190846
25004903965600001;250;06;049;FREJUS OUEST;250;06;008;PUGET ECHANGEUR;14/06/2014 11:01:00;201406141101;14/06/2014 10:58:00;201406141058
25004903965600001;250;06;049;FREJUS OUEST;250;06;008;PUGET ECHANGEUR;03/08/2014 12:21:00;201408031221;03/08/2014 12:18:00;201408031218
25004903965600001;250;06;009;CAPITOU;250;06;008;PUGET ECHANGEUR;19/06/2014 16:47:00;201406191647;19/06/2014 16:44:00;201406191644
25004903965600001;250;06;009;CAPITOU;250;06;008;PUGET ECHANGEUR;14/12/2014 12:29:00;201412141229;14/12/2014 12:27:00;201412141227
25004903965600001;250;06;007;LE MUY;250;06;008;PUGET ECHANGEUR;17/05/2014 00:01:00;201405170001;16/05/2014 23:55:00;201405162355
25004903965600001;250;06;002;LA BARQUE;250;06;008;PUGET ECHANGEUR;28/03/2014 19:34:00;201403281934;28/03/2014 18:37:00;201403281837
25004903965600001;250;06;002;LA BARQUE;250;06;008;PUGET ECHANGEUR;03/03/2014 20:14:00;201403032014;03/03/2014 19:20:00;201403031920
25004903965600001;250;06;002;LA BARQUE;250;06;008;PUGET ECHANGEUR;09/04/2014 20:56:00;201404092056;09/04/2014 20:01:00;201404092001
25004903965600001;250;06;002;LA BARQUE;250;06;008;PUGET ECHANGEUR;23/05/2014 21:15:00;201405232115;23/05/2014 20:32:00;201405232032
25004903965600001;250;06;002;LA BARQUE;250;06;008;PUGET ECHANGEUR;27/06/2014 19:45:00;201406271945;27/06/2014 18:43:00;201406271843
25004903965600001;250;06;002;LA BARQUE;250;06;008;PUGET ECHANGEUR;13/07/2014 18:07:00;201407131807;13/07/2014 17:11:00;201407131711
25004903965600001;250;06;036;PONT DE L ETOILE;250;06;009;CAPITOU;18/09/2014 10:55:00;201409181055;18/09/2014 09:55:00;201409180955
25004903965600001;250;06;006;CANNET DES MAURES;250;06;009;CAPITOU;27/01/2015 14:00:00;201501271400;27/01/2015 13:39:00;201501271339
25004903965600001;250;06;008;PUGET ECHANGEUR;250;06;009;CAPITOU;19/06/2014 09:22:00;201406190922;19/06/2014 09:20:00;201406190920
25004903965600001;250;06;002;LA BARQUE;250;06;009;CAPITOU;28/01/2014 19:38:00;201401281938;28/01/2014 18:25:00;201401281825
25004903965600001;000;00;000;;250;06;010;FREJUS;24/01/2014 19:39:00;201401241939;;
25004903965600001;000;00;000;;250;06;010;FREJUS;28/01/2014 20:14:00;201401282014;;
25004903965600001;000;00;000;;250;06;010;FREJUS;09/01/2014 18:33:00;201401091833;;
25004903965600001;000;00;000;;250;06;010;FREJUS;05/01/2014 13:01:00;201401051301;;
25004903965600001;000;00;000;;250;06;010;FREJUS;16/01/2014 08:21:00;201401160821;;
25004903965600001;000;00;000;;250;06;010;FREJUS;09/01/2014 08:46:00;201401090846;;
25004903965600001;000;00;000;;250;06;010;FREJUS;31/01/2014 07:34:00;201401310734;;
25004903965600001;000;00;000;;250;06;010;FREJUS;16/01/2014 18:12:00;201401161812;;
25004903965600001;000;00;000;;250;06;010;FREJUS;29/01/2014 08:31:00;201401290831;;
25004903965600001;000;00;000;;250;06;010;FREJUS;24/01/2014 08:15:00;201401240815;;
25004903965600001;000;00;000;;250;06;010;FREJUS;31/01/2014 19:21:00;201401311921;;
25004903965600001;000;00;000;;250;06;010;FREJUS;05/01/2014 10:51:00;201401051051;;
25004903965600001;000;00;000;;250;06;010;FREJUS;10/02/2014 19:08:00;201402101908;;
25004903965600001;000;00;000;;250;06;010;FREJUS;06/02/2014 18:44:00;201402061844;;
25004903965600001;000;00;000;;250;06;010;FREJUS;27/02/2014 08:32:00;201402270832;;
25004903965600001;000;00;000;;250;06;010;FREJUS;20/02/2014 08:26:00;201402200826;;
25004903965600001;000;00;000;;250;06;010;FREJUS;14/02/2014 08:30:00;201402140830;;
25004903965600001;000;00;000;;250;06;010;FREJUS;27/02/2014 19:33:00;201402271933;;
25004903965600001;000;00;000;;250;06;010;FREJUS;28/02/2014 18:49:00;201402281849;;
25004903965600001;000;00;000;;250;06;010;FREJUS;20/02/2014 18:01:00;201402201801;;
25004903965600001;000;00;000;;250;06;010;FREJUS;10/02/2014 08:25:00;201402100825;;
25004903965600001;000;00;000;;250;06;010;FREJUS;28/02/2014 08:34:00;201402280834;;
25004903965600001;000;00;000;;250;06;010;FREJUS;14/02/2014 19:20:00;201402141920;;
