NUM_MPM;COD_PAY_ENTR;COD_STE_ENTR;COD_GARE_ENTR;LIB_GARE_ENT;COD_PAY_SOR;COD_STE_SOR;COD_GARE_SOR;LIB_GAR_SOR;HRD_SOR;DATE_SOR;HRD_ENTR;DATE_ENTR
25004903597500002;000;00;000;;250;06;001;CANET DE MEYREUIL;16/01/2014 08:00:00;201401160800;;
25004903597500002;000;00;000;;250;06;001;CANET DE MEYREUIL;23/01/2014 20:03:00;201401232003;;
25004903597500002;000;00;000;;250;06;001;CANET DE MEYREUIL;17/01/2014 19:36:00;201401171936;;
25004903597500002;000;00;000;;250;06;001;CANET DE MEYREUIL;02/01/2014 08:25:00;201401020825;;
25004903597500002;000;00;000;;250;06;001;CANET DE MEYREUIL;31/01/2014 19:59:00;201401311959;;
25004903597500002;000;00;000;;250;06;001;CANET DE MEYREUIL;10/01/2014 20:38:00;201401102038;;
25004903597500002;000;00;000;;250;06;001;CANET DE MEYREUIL;30/01/2014 20:12:00;201401302012;;
25004903597500002;000;00;000;;250;06;001;CANET DE MEYREUIL;20/01/2014 19:33:00;201401201933;;
25004903597500002;000;00;000;;250;06;001;CANET DE MEYREUIL;06/01/2014 08:14:00;201401060814;;
25004903597500002;000;00;000;;250;06;001;CANET DE MEYREUIL;29/01/2014 19:56:00;201401291956;;
25004903597500002;000;00;000;;250;06;001;CANET DE MEYREUIL;15/01/2014 19:51:00;201401151951;;
25004903597500002;000;00;000;;250;06;001;CANET DE MEYREUIL;03/01/2014 08:25:00;201401030825;;
25004903597500002;000;00;000;;250;06;001;CANET DE MEYREUIL;15/01/2014 08:20:00;201401150820;;
25004903597500002;000;00;000;;250;06;001;CANET DE MEYREUIL;10/01/2014 08:21:00;201401100821;;
25004903597500002;000;00;000;;250;06;001;CANET DE MEYREUIL;27/01/2014 08:24:00;201401270824;;
25004903597500002;000;00;000;;250;06;001;CANET DE MEYREUIL;27/01/2014 19:47:00;201401271947;;
25004903597500002;000;00;000;;250;06;001;CANET DE MEYREUIL;28/01/2014 08:12:00;201401280812;;
25004903597500002;000;00;000;;250;06;001;CANET DE MEYREUIL;22/01/2014 20:04:00;201401222004;;
25004903597500002;000;00;000;;250;06;001;CANET DE MEYREUIL;29/01/2014 08:22:00;201401290822;;
25004903597500002;000;00;000;;250;06;001;CANET DE MEYREUIL;28/01/2014 19:57:00;201401281957;;
25004903597500002;000;00;000;;250;06;001;CANET DE MEYREUIL;22/01/2014 08:15:00;201401220815;;
25004903597500002;000;00;000;;250;06;001;CANET DE MEYREUIL;14/01/2014 19:17:00;201401141917;;
25004903597500002;000;00;000;;250;06;001;CANET DE MEYREUIL;07/01/2014 20:15:00;201401072015;;
25004903597500002;000;00;000;;250;06;001;CANET DE MEYREUIL;30/01/2014 08:17:00;201401300817;;
25004903597500002;000;00;000;;250;06;001;CANET DE MEYREUIL;06/01/2014 19:47:00;201401061947;;
25004903597500002;000;00;000;;250;06;001;CANET DE MEYREUIL;14/01/2014 08:18:00;201401140818;;
25004903597500002;000;00;000;;250;06;001;CANET DE MEYREUIL;02/01/2014 19:12:00;201401021912;;
25004903597500002;000;00;000;;250;06;001;CANET DE MEYREUIL;21/01/2014 20:08:00;201401212008;;
25004903597500002;000;00;000;;250;06;001;CANET DE MEYREUIL;03/01/2014 19:36:00;201401031936;;
25004903597500002;000;00;000;;250;06;001;CANET DE MEYREUIL;09/01/2014 20:02:00;201401092002;;
25004903597500002;000;00;000;;250;06;001;CANET DE MEYREUIL;13/01/2014 08:15:00;201401130815;;
25004903597500002;000;00;000;;250;06;001;CANET DE MEYREUIL;07/01/2014 08:16:00;201401070816;;
25004903597500002;000;00;000;;250;06;001;CANET DE MEYREUIL;13/01/2014 19:45:00;201401131945;;
25004903597500002;250;06;036;PONT DE L ETOILE;250;06;038;PAS DE TRETS;12/01/2014 16:22:00;201401121622;12/01/2014 16:18:00;201401121618
25004903597500002;000;00;000;;250;06;001;CANET DE MEYREUIL;16/01/2014 19:47:00;201401161947;;
