NUM_MOY_PAIM;COD_PAY_ENTR;COD_STE_ENTR;COD_GARE_ENTR;LIB_GARE_ENT;COD_PAY_SOR;COD_STE_SOR;COD_GARE_SOR;LIB_GAR_SOR;HRD_SOR;DAT_SOR;HRD_ENTR;DAT_ENTR
25006982895200001;250;04;220;LANCON;250;04;205;VALENCE-S;27/03/2015 18:06:05;20150327180605;27/03/2015 16:41:00;20150327164100
25004903965600001;250;04;220;LANCON;250;04;205;VALENCE-S;04/04/2015 13:15:45;20150404131545;04/04/2015 11:24:12;20150404112412
25006981720810003;250;04;220;LANCON;250;04;205;VALENCE-S;11/04/2015 13:33:12;20150411133312;11/04/2015 12:16:36;20150411121636
25006981720810003;250;04;220;LANCON;250;04;205;VALENCE-S;30/05/2015 06:05:43;20150530060543;30/05/2015 04:49:28;20150530044928
25004903965600001;250;04;211;AVIGNON-N;250;04;205;VALENCE-S;22/01/2015 10:08:26;20150122100826;22/01/2015 08:49:28;20150122084928
25004903965600001;250;04;211;AVIGNON-N;250;04;205;VALENCE-S;10/06/2015 09:39:39;20150610093939;10/06/2015 08:43:00;20150610084300
25006981720810003;250;04;208;MONTELIMAR-S;250;04;205;VALENCE-S;20/09/2014 13:11:43;20140920131143;20/09/2014 12:47:36;20140920124736
25006980324810003;250;04;220;LANCON;250;04;201;VIENNE;19/04/2014 10:02:25;20140419100225;19/04/2014 08:04:32;20140419080432
25006980530210003;250;04;220;LANCON;250;04;201;VIENNE;01/05/2014 10:11:26;20140501101126;01/05/2014 08:14:06;20140501081406
25006980324810003;250;04;220;LANCON;250;04;201;VIENNE;30/07/2014 20:37:22;20140730203722;30/07/2014 18:43:12;20140730184312
25006980530210003;250;04;220;LANCON;250;04;201;VIENNE;04/08/2014 12:01:34;20140804120134;04/08/2014 10:03:12;20140804100312
25006981720810003;250;04;220;LANCON;250;04;201;VIENNE;23/09/2014 14:38:20;20140923143820;23/09/2014 12:51:42;20140923125142
25006980324810003;250;04;220;LANCON;250;04;201;VIENNE;25/10/2014 09:00:09;20141025090009;25/10/2014 06:46:28;20141025064628
25006980530210003;250;04;220;LANCON;250;04;201;VIENNE;09/11/2014 08:59:07;20141109085907;09/11/2014 07:08:00;20141109070800
25006981720810003;250;04;220;LANCON;250;04;201;VIENNE;18/12/2014 08:30:53;20141218083053;18/12/2014 06:44:40;20141218064440
25006980530210003;250;04;220;LANCON;250;04;201;VIENNE;20/01/2015 08:44:01;20150120084401;20/01/2015 06:49:18;20150120064918
25006982895200001;250;04;220;LANCON;250;04;201;VIENNE;13/02/2015 16:33:11;20150213163311;13/02/2015 14:39:28;20150213143928
25006982895200001;250;04;220;LANCON;250;04;201;VIENNE;24/04/2015 19:39:05;20150424193905;24/04/2015 17:37:52;20150424173752
25006982895200001;250;04;220;LANCON;250;04;201;VIENNE;29/04/2015 18:42:56;20150429184256;29/04/2015 16:50:30;20150429165030
25004903965600001;250;04;220;LANCON;250;04;201;VIENNE;03/05/2015 11:14:10;20150503111410;03/05/2015 09:29:18;20150503092918
25006980324810003;250;04;220;LANCON;250;04;201;VIENNE;07/05/2015 21:23:19;20150507212319;07/05/2015 19:42:04;20150507194204
25006980324810003;250;04;220;LANCON;250;04;201;VIENNE;13/05/2015 12:29:10;20150513122910;13/05/2015 10:40:20;20150513104020
25006980530210003;250;04;220;LANCON;250;04;201;VIENNE;13/05/2015 08:33:09;20150513083309;13/05/2015 06:39:08;20150513063908
25006980530210003;250;04;211;AVIGNON-N;250;04;201;VIENNE;22/05/2014 08:22:03;20140522082203;22/05/2014 06:36:26;20140522063626
25006982729610002;250;04;211;AVIGNON-N;250;04;201;VIENNE;11/07/2014 11:01:37;20140711110137;11/07/2014 09:12:40;20140711091240
25006980530210003;250;04;211;AVIGNON-N;250;04;201;VIENNE;30/10/2014 08:51:48;20141030085148;30/10/2014 07:02:58;20141030070258
25006982729610002;250;04;211;AVIGNON-N;250;04;201;VIENNE;17/07/2015 09:22:53;20150717092253;17/07/2015 07:37:18;20150717073718
25006982804710002;250;04;211;AVIGNON-N;250;04;201;VIENNE;11/07/2015 07:01:44;20150711070144;11/07/2015 05:36:58;20150711053658
25006980530210003;250;04;212;AVIGNON-S;250;04;201;VIENNE;19/03/2015 11:02:54;20150319110254;19/03/2015 09:23:08;20150319092308
